time,s1,s2,s3,s4,s5,s6,s7
0.17127939999772934,133.1281,120.9225,112.0743,206.2250,149.0574,174.2187,115.7043
1.4954459999971732,133.1255,120.8956,112.0068,206.2462,149.0424,174.2581,115.7106
2.819682899997133,133.1287,120.9612,112.0175,206.2612,149.0318,174.2337,115.7824
4.144635499997094,133.1049,120.9118,112.0150,206.2906,149.0081,174.2568,115.7243
5.469104499999958,133.1724,120.9512,112.0456,206.2917,149.0718,174.2962,115.7406
6.792722399997729,133.1431,120.9125,112.0693,206.3156,149.0912,174.2731,115.7469
8.117516599999362,133.1212,120.9599,112.0118,206.3062,149.0681,174.3318,115.7662
9.441883399998915,133.1786,120.9231,112.0262,206.2699,149.0524,174.3906,115.7193
10.768014999997831,133.1599,120.9812,112.0706,206.3000,149.1087,174.2737,115.7750
12.091332399999374,133.1574,120.9500,112.0606,206.2706,149.0775,174.3474,115.7125
13.416721899997356,133.1443,120.9050,112.0637,206.2568,149.0712,174.3362,115.6925
14.740795599998819,133.1862,120.9493,112.0331,206.3474,149.0743,174.3024,115.8031
16.065785899998446,133.1718,120.9362,112.0550,206.4224,149.0781,174.2912,115.7581
17.391240099997958,133.1537,121.0043,112.0581,206.3412,149.0206,174.2719,115.7406
18.714869199997338,133.1368,120.9643,112.0906,206.3524,149.0969,174.3224,115.7750
20.039171599997644,133.2293,120.9337,112.0206,206.1212,149.1237,174.3250,115.7625
21.364462199999252,133.1543,120.6574,112.7625,205.7719,149.0737,174.3556,115.7262
22.689490199998545,133.1412,120.6743,112.7000,205.6618,149.0712,174.3356,115.7212
24.013799199998175,133.1087,120.7893,112.2968,206.7424,149.1005,174.3868,115.7594
25.337838100000226,133.0781,120.8062,112.2912,206.7443,149.0543,174.3287,115.7762
26.662533200000325,133.0524,120.7868,112.2831,206.7568,149.0518,174.3562,115.7706
27.9891592999993,133.0656,120.7750,112.2875,206.7886,149.0768,174.3956,115.8687
29.313416199998755,133.0887,120.7906,112.2425,206.8011,149.1218,174.3474,115.8125
30.637781099998392,133.0356,120.8256,112.2606,206.7574,149.1037,174.4224,115.8375
31.962385700000596,133.0800,120.7924,112.2950,206.7899,149.0599,174.4050,115.8744
33.28773319999891,133.1018,120.8199,112.2581,206.8237,149.0906,174.4230,115.8731
34.61269639999955,133.1268,120.8150,112.3075,206.7930,149.1786,174.3500,115.8612
35.93687339999815,133.0293,120.7924,112.2768,206.8043,149.0687,174.3875,115.8950
37.261112199998024,133.0687,120.8449,112.2824,206.7712,149.1637,174.4112,115.8744
38.58688919999986,133.1281,120.7750,112.3237,206.8181,149.1462,174.4094,115.8818
39.91120569999839,133.0674,120.8062,112.3099,206.8149,149.1212,174.4380,115.9187
41.23614879999877,133.0500,120.8643,112.3250,206.7937,149.0781,174.4206,115.8750
42.55957689999923,133.1218,120.8175,112.3162,206.8087,149.0974,174.4431,115.8824
43.88451999999961,133.0731,120.7525,112.2437,206.8818,149.1293,174.4324,115.8744
45.20934309999939,133.0656,120.3731,112.9344,210.6368,148.8875,174.3787,115.8868
46.534336599997914,133.1949,120.6881,112.7912,207.4086,149.0825,174.4168,115.8706
47.85859150000033,133.2075,120.7050,112.8431,207.3730,149.0531,174.4575,115.8981
49.18277829999715,133.2411,120.6943,112.8119,207.3693,149.1112,174.3994,115.9012
50.50773059999847,133.2250,120.7512,112.7437,207.3724,149.0756,174.4424,115.8787
51.83335879999868,133.2299,120.7687,112.7362,207.3542,149.0574,174.4230,115.9068
53.15663779999886,133.2625,120.7744,112.7581,207.3443,149.0649,174.4193,115.8931
54.48059749999811,133.2768,120.7681,112.7206,207.3381,149.0812,174.4056,115.9006
55.807517400000506,133.2524,120.7362,112.7943,207.3437,149.0806,174.4643,115.8625
57.13140619999831,133.2943,120.7824,112.7956,207.3937,149.1000,174.4274,115.9850
58.4554191999996,133.3000,120.7099,112.7868,207.3143,149.0324,174.4262,115.9643
59.780215200000384,133.3068,120.7112,112.8268,207.3224,149.1161,174.4775,115.9562
61.10476980000021,133.3224,120.7224,112.7731,207.3687,149.1337,174.4174,115.9937
62.43056459999934,133.2949,120.7474,112.7856,208.1818,149.1074,174.4875,115.9719
63.75461699999869,133.3331,120.6656,113.1506,209.1599,149.0087,174.4625,115.9381
65.07962389999739,133.3268,120.6812,112.9974,209.1906,149.0856,174.4681,115.9599
66.40363149999757,133.3699,120.6812,113.0849,209.2037,149.0418,174.4662,115.9562
67.72983699999895,133.3512,120.7481,113.0568,209.1768,149.0331,174.4456,115.9893
69.05428019999817,133.3418,120.6712,113.1043,209.2087,149.0062,174.4606,115.9719
70.37797890000002,133.3469,120.7693,113.1049,209.1830,148.9793,174.4687,115.9868
71.7023683999978,133.3712,120.7481,113.0800,209.1730,149.0150,174.4650,116.0025
73.02838939999856,133.3856,120.7543,113.1031,209.1774,149.0256,174.4699,116.0150
74.35260070000004,133.3812,120.7462,113.0875,209.1262,149.0443,174.4556,116.0050
75.6768579999989,133.3349,120.6962,113.0949,209.2349,149.0574,174.4924,115.9931
77.00113989999954,133.3369,120.7231,113.0793,209.2105,149.0593,174.5344,116.0293
78.3254601999979,133.3481,120.7212,113.1143,209.1818,149.0881,174.4880,116.0543
79.65042249999897,133.3637,120.7650,113.1006,209.1761,149.0562,174.4743,116.0862
80.97573799999736,133.3593,120.7606,113.1081,209.1469,149.0893,174.4799,116.0437
