time,s1,s2,s3,s4,s5,s6,s7
0.4816388999897754,125.3437,115.0687,108.0324,195.1425,142.5962,180.9286,108.1025
1.8060307999985525,125.3275,115.0687,108.0224,195.1487,142.5943,180.8793,108.1869
3.1334804999933112,125.2875,115.0556,108.0006,195.1130,142.5887,180.9299,108.1156
4.458206799987238,125.3125,115.0287,108.0125,195.1450,142.6506,180.9081,108.1543
5.782612299997709,125.3125,115.0400,108.0568,195.2119,142.5949,180.8931,108.1674
7.108307099988451,125.3112,115.0500,108.0262,195.1687,142.6418,180.9087,108.1281
8.434232399988105,125.3406,115.0356,108.0062,195.2031,142.6005,180.8344,108.1681
9.758926299997256,125.3612,115.0668,108.0094,195.1268,142.6224,180.8787,108.1200
11.083509499992942,125.3631,115.0993,108.0531,195.1487,142.6218,180.8487,108.1500
12.408624999996391,125.4006,114.9812,108.0168,195.1469,142.6668,180.8406,108.1312
13.734696399988024,125.3406,115.0906,108.0156,195.1450,142.6224,180.8868,108.1381
15.06066099999589,125.3512,115.0512,107.9418,195.1400,142.6343,180.8387,108.1312
16.384943799988832,125.3781,115.0675,107.9612,195.1581,142.4068,183.4831,108.6031
17.710213699989254,125.4762,115.0344,107.7837,195.0424,142.7918,184.1818,108.0400
19.036026199988555,125.3937,115.0200,108.0250,195.2094,142.7237,188.6356,108.0943
20.362099499994656,125.3762,115.0912,108.0156,195.1968,142.7075,188.5400,108.1543
21.68573359999573,125.3712,115.0993,108.0099,195.2250,142.7818,188.4855,108.1324
23.011750399993616,125.3849,115.0393,108.0050,195.2449,142.7762,188.4599,108.1344
24.338175699987914,125.4193,115.0481,108.0012,195.2399,142.7474,188.4056,108.1650
25.661838599990006,125.3493,115.0712,108.0437,195.2362,142.7637,188.5706,108.1250
26.987642099993536,125.4143,115.0650,108.0081,195.2206,142.7156,188.4594,108.1506
28.312509199997294,125.3493,115.0687,107.9956,195.2162,142.7675,188.5400,108.1537
29.63868160000129,125.3600,115.0031,108.0412,195.2050,142.7812,188.7000,108.1793
30.963432999997167,125.3974,115.0937,108.0381,195.2137,142.7643,188.6762,108.1531
32.28846839998732,125.3893,115.0594,108.0118,195.2443,142.7518,188.6887,108.1075
33.61307319998741,125.4506,115.0368,108.0219,195.2237,142.7393,188.6599,108.1400
34.93938569999591,125.3943,115.0324,108.0719,195.2331,142.7193,188.6812,108.1206
36.265028599998914,125.3681,115.0493,108.0200,195.2268,142.7375,188.6650,108.1306
