time,s1,s2,s3,s4,s5,s6,s7
1.2774963999981992,130.6899,93.9450,123.6737,134.6843,119.8643,135.7387,126.2006
2.6012644000002183,130.7893,93.9650,123.6925,134.6974,119.8687,135.7531,126.1750
3.92564890000358,130.7243,93.9187,123.7125,134.6918,119.9212,135.7312,126.1869
5.25228259999858,130.7687,93.9662,123.6956,134.6849,119.8168,135.7068,126.1800
6.577439500004402,130.7349,94.0012,123.7112,134.7812,119.8356,135.7706,126.2362
7.900996099997428,130.7800,93.9037,123.7219,134.6762,119.8381,135.7587,126.2525
9.225993699998071,130.7737,93.9356,123.6818,134.7018,119.8943,135.8237,126.2119
10.551924400002463,130.7237,93.9350,123.7099,134.7524,119.8575,135.7631,126.2550
11.87760580000031,130.7474,93.9518,123.6687,134.7681,119.8400,135.7837,126.2293
13.201563399998122,130.8068,93.8856,123.6656,134.7968,119.8687,135.7331,126.2687
14.52634670000407,130.7724,93.9068,123.6974,134.8174,119.9062,135.7505,126.2806
15.852501699999266,130.7756,93.9537,123.6631,137.0118,123.7856,135.3056,126.2175
17.17640470000333,130.7824,93.9387,123.6674,144.5668,132.5068,134.7724,126.1025
18.500570199998037,130.7737,93.9981,123.7393,136.5681,121.6193,135.4094,126.1681
19.82530119999865,130.7812,93.9406,123.7650,136.6568,121.7143,135.4281,126.1631
21.15188830000261,130.8087,93.9512,123.7656,136.6331,121.7768,135.3962,126.2094
22.477034800002002,130.8369,94.0306,123.7437,136.6518,121.8087,135.4181,126.1849
23.800753900002746,130.8093,93.9625,123.7125,136.6406,121.7818,135.4619,126.2037
25.126519299999927,130.7937,93.9756,123.7343,136.7219,121.7675,135.4150,126.1762
26.45187630000146,130.7800,93.9350,123.7800,136.6737,121.7975,135.4543,126.1993
27.77703879999899,130.8199,93.9143,123.7094,136.6812,121.7956,135.4606,126.1743
29.101397300000826,130.8518,93.9762,123.7262,136.6968,121.7668,135.4737,126.1525
30.425903299998026,130.8605,93.9362,123.7243,136.7143,121.8231,135.4650,126.1456
31.752895600002375,130.8487,93.9975,123.6825,136.6793,121.7474,135.5043,126.1768
