time,s1,s2,s3,s4,s5,s6,s7
698757.421521805,]0;🐍code.py | 10.1.3\-2.9624,-2.8938,-0.9875,-1.6621,-1.9312,348.2249,85.0000
698757.74694374,-2.4063,-2.4939,-1.3064,-1.7373,-2.1687,349.0125,85.3374
698758.072837535,-2.9810,-2.5938,-1.3689,-1.7813,-2.3811,350.9060,86.0815
698758.398705957,-2.4624,-2.3564,-1.1062,-1.3184,-1.5125,352.3875,86.2251
698758.72615885,-2.7061,-2.0127,-1.0188,-1.5435,-1.9812,353.7498,86.0938
698759.051702114,-2.4185,-2.7251,-1.0188,-1.3999,-1.2561,354.5623,86.7813
698759.377459144,-2.7310,-2.7002,-0.1563,-1.2749,-1.6875,356.3938,86.5625
698759.704366258,-1.8062,-2.1125,-0.8438,-0.9561,-1.5750,357.8499,86.8374
698760.029962176,-1.9937,-2.6189,-0.4126,-1.1997,-1.3374,358.6936,87.7002
698760.356207555,-2.1187,-1.2939,-1.2063,-1.3438,-1.2874,360.5374,86.9814
698760.681609861,-1.6812,-0.9314,-0.6563,-1.2188,-1.3936,362.0251,87.8374
698761.008660938,-2.0122,-1.9063,-0.5313,-1.0122,-1.0249,363.3562,88.1499
698761.33446328,-2.1250,-2.1814,-0.3313,-1.3623,-1.4500,364.7439,87.6377
698761.659848411,-1.2871,-1.9814,-0.9314,-0.6372,-1.3311,366.2937,88.0503
698761.985373846,-1.6187,-2.3813,-1.1938,-1.4312,-1.4624,367.7625,88.5938
698762.313206394,-1.8247,-2.1313,-0.7312,-1.1563,-1.2312,369.0813,88.3062
698762.639117388,-1.6997,-2.1377,-0.1438,-1.2935,-1.5249,370.3562,87.9189
698762.964673483,-1.9497,-0.7188,-0.3376,-0.6250,-1.3250,371.6687,88.6377
698763.291874347,-1.7373,-2.2063,0.2063,-1.5435,-1.1875,373.1501,89.0127
698763.617475068,-1.3936,-1.9438,-0.4563,-1.0747,-1.3999,374.7126,88.8940
698763.943078994,-1.7124,-0.7314,-0.9187,-1.4248,-1.4561,375.5686,89.1187
698764.268858182,-2.0313,-1.9438,-0.6750,-1.4312,-1.3250,377.1873,89.7627
698764.596176442,-2.0811,-1.6377,-0.9063,-1.2813,-1.0498,378.6311,90.1753
698764.92228868,-1.7373,-1.8064,-0.4688,-0.9937,-1.4063,379.8186,89.7939
698765.247582322,-1.5874,-1.7813,-0.3313,-0.9624,-0.9436,380.8811,89.6064
698765.573050411,-1.7310,-2.1501,-0.4314,-1.3438,-1.1687,382.1248,89.9878
698765.900279993,-1.8687,-1.7500,-0.7500,-0.6748,-1.1687,383.9060,90.5376
698766.226033281,-2.1563,-2.1250,-0.3250,-0.9497,-1.5938,385.1311,90.5127
698766.551770436,-1.9746,-1.8938,-0.6250,-1.3750,-1.6748,386.8313,90.6064
698766.878859569,-1.5996,-1.7314,-0.6438,-0.8750,-0.8311,387.3938,90.9814
698767.204704567,-1.8374,-1.6750,-0.6189,-0.7559,-1.1311,388.9685,90.9189
698767.530232722,-1.6621,-1.6001,-0.5251,-1.3374,-1.2437,390.3875,91.2378
698767.855788975,-1.6309,-1.8000,-0.3938,-0.6997,-1.2000,391.8625,91.8750
698768.182793872,-1.7500,-1.6626,-0.7937,-0.6748,-1.2437,393.5251,91.3750
698768.508705758,-1.5059,-2.0938,-0.6375,-0.8560,-1.5686,394.3689,91.4253
698768.834167427,-1.8125,-2.0188,-0.1501,-0.6621,-1.2373,396.0813,91.6626
698769.159812198,-1.8062,-2.1001,-0.9250,-1.0000,-1.5249,398.0310,92.0688
698769.486873103,-1.6748,-0.9375,-0.9001,-0.8560,-1.3687,399.0500,91.6001
698769.812478664,-1.8496,-2.1626,-0.1375,-1.3062,-1.4436,400.1814,92.5063
698770.138198987,-1.8999,-1.9814,-1.0000,-1.1309,-1.5186,401.2249,91.9438
698770.46528638,-1.9121,-1.9939,-1.2375,-0.3184,-0.7373,402.8562,91.9189
698770.790985844,-0.8936,-1.9250,-0.1375,-1.1250,-1.3374,404.2249,92.9253
698771.11641956,-2.0435,-1.8438,-0.5313,-1.1436,-1.4873,405.5500,92.5688
698771.442082567,-1.7500,-1.9375,-0.7312,-0.6997,-0.8687,407.0999,93.6563
698771.769454883,-1.2622,-1.6689,-0.4375,-0.8311,-1.0686,407.9812,92.8940
698772.094609726,-1.2500,-1.5500,-0.6001,-1.2437,-0.8936,409.8064,94.0938
698772.420155495,-1.1436,-2.4314,0.0061,-1.1563,-0.9561,411.5310,93.6313
698772.745859191,-1.8125,-2.1377,-0.1189,-1.3125,-1.2813,411.9314,93.7563
698773.072846376,-1.8560,-2.4250,-0.3875,-0.7188,-0.8374,413.6125,93.5752
698773.3984462,-1.9937,-2.1001,-0.1125,-0.6748,-0.8936,414.7688,94.0562
698773.724213061,-1.0811,-0.4688,-0.1313,-1.0811,-0.9312,415.9500,93.4878
698774.051126813,-1.7686,-1.6189,-0.7751,-0.5498,-0.8186,417.4500,94.0938
698774.376644852,-2.0938,-1.7876,-0.8064,-1.2246,-1.4187,418.4124,94.1440
698774.702627448,-0.9810,-1.2939,-0.0063,-1.2998,-0.6812,420.0750,93.9624
698775.028010908,-1.4561,-2.1125,-0.7500,-1.2188,-0.6687,421.1936,93.7002
698775.355083291,-2.3374,-1.8625,-1.0437,-0.8623,-0.7188,422.2751,94.5503
698775.680689581,-1.5059,-1.6438,-0.8376,-0.4185,-0.7500,423.9500,94.3687
698776.006145479,-1.2686,-1.2688,-0.5063,-0.7622,-1.0686,424.9001,94.4189
698776.332965401,-1.2559,-2.3376,-0.9001,-0.7437,-1.3250,426.0437,94.8252
698776.658891951,-1.8687,-1.8501,-1.0750,-1.0313,-0.8687,427.7874,94.6313
698776.984495327,-1.5313,-2.2063,-0.5376,-0.9375,-1.5437,428.9685,94.1563
698777.310157391,-1.1812,-2.1438,0.1125,-0.8496,-0.7000,430.1311,94.7500
698777.637294282,-2.0625,-2.5313,-0.6062,-0.5313,-1.0061,431.0935,95.0815
698777.962723691,-2.1499,-2.0876,-0.4751,-1.1123,-1.3750,432.4250,95.4565
698778.28824908,-1.9937,-2.3376,-0.5500,-0.6997,-1.0061,433.7439,95.2563
698778.613774403,-1.9810,-1.5439,-0.3562,-1.2500,-0.8623,435.1438,96.1313
698778.941088953,-1.3936,-2.0188,-0.8313,-1.4810,-1.1436,436.5935,95.7563
698779.266917377,-1.2246,-1.9939,-0.9063,-1.1187,-1.1436,437.6873,95.5063
698779.592471201,-2.0000,-1.8750,-0.0188,-1.4063,-1.5249,438.7126,95.8315
698779.919774773,-1.8374,-1.9189,-0.4563,-1.3247,-0.9248,439.7063,95.7813
698780.244820019,-2.0249,-1.9626,-0.0564,-1.6621,-1.4063,441.6750,95.8501
698780.57042172,-1.5000,-2.3501,-0.5500,-0.6123,-0.9063,442.7000,95.9814
698780.895987133,-1.6309,-1.7627,-0.6875,-0.8809,-1.1563,443.6311,96.6938
698781.222978541,-2.2061,-1.9001,-0.7375,-1.2310,-0.9812,444.9626,96.3999
698781.548898095,-1.4312,-1.9126,0.0938,-1.2437,-1.3936,446.0623,96.3564
698781.874452051,-1.7935,-1.9563,-0.5188,-1.1060,-1.2686,447.5750,96.3003
698782.199967663,-2.3125,-1.1814,-0.1750,-0.8809,-1.0874,448.5876,96.5127
